[2015-02-10 10:11:41] Memulai Prefill. 
[2015-02-10 10:11:41] Mencari file. 
[2015-02-10 10:11:41] Ekstrak file. 
[2015-02-10 10:11:45] Eksekusi data [2.19%] 
[2015-02-10 10:11:46] Eksekusi data [4.38%] 
[2015-02-10 10:11:48] Eksekusi data [6.57%] 
[2015-02-10 10:11:52] Eksekusi data [8.76%] 
[2015-02-10 10:11:54] Eksekusi data [10.95%] 
[2015-02-10 10:11:56] Eksekusi data [13.14%] 
[2015-02-10 10:11:58] Eksekusi data [15.33%] 
[2015-02-10 10:12:00] Eksekusi data [17.52%] 
[2015-02-10 10:12:01] Eksekusi data [19.71%] 
[2015-02-10 10:12:03] Eksekusi data [21.9%] 
[2015-02-10 10:12:05] Eksekusi data [24.09%] 
[2015-02-10 10:12:07] Eksekusi data [26.28%] 
[2015-02-10 10:12:09] Eksekusi data [28.47%] 
[2015-02-10 10:12:10] Eksekusi data [30.66%] 
[2015-02-10 10:12:12] Eksekusi data [32.85%] 
[2015-02-10 10:12:14] Eksekusi data [35.04%] 
[2015-02-10 10:12:16] Eksekusi data [37.23%] 
[2015-02-10 10:12:19] Eksekusi data [39.42%] 
[2015-02-10 10:12:20] Eksekusi data [41.61%] 
[2015-02-10 10:12:22] Eksekusi data [43.8%] 
[2015-02-10 10:12:24] Eksekusi data [45.99%] 
[2015-02-10 10:12:25] Eksekusi data [48.18%] 
[2015-02-10 10:12:27] Eksekusi data [50.37%] 
[2015-02-10 10:12:29] Eksekusi data [52.56%] 
[2015-02-10 10:12:30] Eksekusi data [54.75%] 
[2015-02-10 10:12:32] Eksekusi data [56.94%] 
[2015-02-10 10:12:33] Eksekusi data [59.13%] 
[2015-02-10 10:12:35] Eksekusi data [61.32%] 
[2015-02-10 10:12:45] Eksekusi data [63.51%] 
[2015-02-10 10:12:46] Eksekusi data [65.7%] 
[2015-02-10 10:12:48] Eksekusi data [67.89%] 
[2015-02-10 10:12:50] Eksekusi data [70.08%] 
[2015-02-10 10:12:51] Eksekusi data [72.27%] 
[2015-02-10 10:12:53] Eksekusi data [74.46%] 
[2015-02-10 10:12:55] Eksekusi data [76.65%] 
[2015-02-10 10:12:56] Eksekusi data [78.84%] 
[2015-02-10 10:12:58] Eksekusi data [81.03%] 
[2015-02-10 10:13:00] Eksekusi data [83.22%] 
[2015-02-10 10:13:02] Eksekusi data [85.41%] 
[2015-02-10 10:13:03] Eksekusi data [87.6%] 
[2015-02-10 10:13:05] Eksekusi data [89.79%] 
[2015-02-10 10:13:06] Eksekusi data [91.98%] 
[2015-02-10 10:13:08] Eksekusi data [94.17%] 
[2015-02-10 10:13:10] Eksekusi data [96.36%] 
[2015-02-10 10:13:11] Eksekusi data [98.55%] 
